Name,Threshold,Statistic,Low Noise,High Noise
FAM174B,-0.8776250000000001,39.66674269195692,-1.377625,-0.3776250000000001
AP3S2,-0.10883333333333334,4.719397421640094,-0.6088333333333333,0.39116666666666666
SV2B,0.38375000000000004,5.997929848699503,-0.11624999999999996,0.88375
RBPMS2,0.38116666666666665,4.3593556307032,-0.11883333333333335,0.8811666666666667
AVEN,0.011166666666666665,3.963580809231001,-0.48883333333333334,0.5111666666666667
ZSCAN29,-0.036166666666666666,4.708000417555384,-0.5361666666666667,0.4638333333333333
VPS39,0.28049999999999997,4.6209203980099565,-0.21950000000000003,0.7805
CHP,0.15293333333333334,9.26188142085835,-0.34706666666666663,0.6529333333333334
CASC5,0.149625,2.624251279948062,-0.350375,0.649625
ATMIN,-1.0765333333333333,4.087343120795916,-1.5765333333333333,-0.5765333333333333
UNKL,0.5916666666666667,3.5585525893541496,0.09166666666666667,1.0916666666666668
TMEM127,-0.868625,12.398888125640681,-1.368625,-0.368625
MMP15,-0.2446,10.986133232152554,-0.7446,0.25539999999999996
PRM1,-0.14776666666666666,17.9599711081075,-0.6477666666666666,0.35223333333333334
USP10,0.35666666666666663,9.360280666743387,-0.14333333333333337,0.8566666666666667
HSBP1,-0.008400000000000005,5.445019384191465,-0.5084,0.4916
ESRP2,-0.694,20.048440326126457,-1.194,-0.19399999999999995
CDH16,0.19146666666666667,3.6712060775691953,-0.3085333333333333,0.6914666666666667
NELL2,-0.27309999999999995,2.687560565797291,-0.7730999999999999,0.22690000000000005
CMIP,-0.05424999999999998,3.687389727018618,-0.55425,0.44575000000000004
GRIN2A,0.1855,0.0,-0.3145,0.6855
ZNF598,-0.25066666666666665,2.7856173467814007,-0.7506666666666666,0.24933333333333335
DECR2,-0.09086666666666668,4.085586437982518,-0.5908666666666667,0.40913333333333335
NPRL3,-0.7363333333333334,3.3105106740171215,-1.2363333333333335,-0.2363333333333334
ORC6,-0.047,2.7272595175821,-0.547,0.453
ORC6,-0.45971428571428574,3.4870038637161915,-0.9597142857142857,0.04028571428571426
PPP4C,0.33358333333333334,6.4111237210389715,-0.16641666666666666,0.8335833333333333
IL34,0.3355,3.3479692781142183,-0.16449999999999998,0.8355
TCEB2,0.16200000000000003,13.179457935961734,-0.33799999999999997,0.662
